Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,472.160004,473.670013,470.489990,472.649994,465.264374,123623700
2024-01-03,470.429993,471.190002,468.170013,468.790009,461.464661,103585900
2024-01-04,468.299988,470.959991,467.049988,467.279999,459.978302,84232200
2024-01-05,467.489990,470.440002,466.429993,467.920013,460.608246,86060800
2024-01-08,468.429993,474.750000,468.299988,474.600006,467.183868,74879100
2024-01-09,471.869995,474.929993,471.350006,473.880005,466.475128,65931400
2024-01-10,474.160004,477.450012,473.869995,476.559998,469.113251,67310600
2024-01-11,477.589996,478.119995,472.260010,476.350006,468.906525,77940700
2024-01-12,477.839996,478.600006,475.230011,476.679993,469.231384,57944000
2024-01-16,475.260010,476.609985,473.059998,474.929993,467.508698,85014900
2024-01-17,471.820007,472.790009,469.869995,472.290009,464.909973,68843900
2024-01-18,474.010010,477.059998,472.420013,476.489990,469.044342,91856200
2024-01-19,477.649994,482.720001,476.540009,482.429993,474.891510,110733300
2024-01-22,484.010010,485.220001,482.779999,483.450012,475.895630,75844900
2024-01-23,484.010010,485.109985,482.890015,484.859985,477.283539,49945300
2024-01-24,487.809998,488.769989,484.880005,485.390015,477.805298,81765000
2024-01-25,487.579987,488.309998,485.390015,488.029999,480.404022,72525000
2024-01-26,487.589996,489.119995,486.540009,487.410004,479.793732,76641600
2024-01-29,487.730011,491.420013,487.170013,491.269989,483.593384,61322800
2024-01-30,490.559998,491.619995,490.109985,490.890015,483.219360,58618400
2024-01-31,488.619995,489.079987,482.859985,482.880005,475.334534,126011100
2024-02-01,484.630005,489.230011,483.799988,489.200012,481.555756,91891600
2024-02-02,489.649994,496.049988,489.299988,494.350006,486.625275,99147700
2024-02-05,493.700012,494.380005,490.230011,492.549988,484.853424,75757100
2024-02-06,493.519989,494.320007,492.049988,493.980011,486.261047,55918600
2024-02-07,496.290009,498.529999,495.359985,498.100006,490.316650,70556500
2024-02-08,498.100006,498.709991,497.260010,498.320007,490.533203,52343600
2024-02-09,498.839996,501.649994,498.489990,501.200012,493.368256,63979400
2024-02-12,501.170013,503.500000,500.239990,500.980011,493.151703,56502300
2024-02-13,494.529999,497.089996,490.720001,494.079987,486.359497,113099200
2024-02-14,496.790009,499.070007,494.399994,498.570007,490.779297,68387800
2024-02-15,499.290009,502.200012,498.799988,502.010010,494.165588,61683000
2024-02-16,501.700012,502.869995,498.750000,499.510010,491.704651,75461200
