Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,9.248000,9.836000,9.196000,9.816000,9.816000,19451000
2023-02-27,9.886000,10.398000,9.870000,10.113000,10.113000,18911000
2023-02-28,10.092000,10.300000,9.786000,9.797000,9.797000,17416000
2023-03-01,9.916000,10.306000,9.862000,10.200000,10.200000,10785000
2023-03-02,10.006000,10.093000,9.510000,9.837000,9.837000,13194000
2023-03-03,9.848000,10.000000,9.552000,9.783000,9.783000,9969000
2023-03-06,9.885000,9.998000,9.687000,9.830000,9.830000,8265000
2023-03-07,9.855000,10.075000,9.702000,9.851000,9.851000,9664000
2023-03-08,9.875000,10.366000,9.812000,10.235000,10.235000,14610000
2023-03-09,10.250000,10.430000,9.816000,9.856000,9.856000,11651000
2023-03-10,9.801000,9.801000,9.209000,9.276000,9.276000,17333000
2023-03-13,9.100000,9.237000,8.856000,8.928000,8.928000,12826000
2023-03-14,9.184000,9.460000,9.127000,9.247000,9.247000,10673000
2023-03-15,8.936000,9.182000,8.725000,9.175000,9.175000,12431000
2023-03-16,9.006000,9.727000,9.006000,9.723000,9.723000,15443000
2023-03-17,9.685000,9.804000,9.407000,9.550000,9.550000,18256000
2023-03-20,9.549000,10.021000,9.541000,9.852000,9.852000,15409000
2023-03-21,9.999000,10.835000,9.999000,10.825000,10.825000,20352000
2023-03-22,10.885000,11.627000,10.837000,11.254000,11.254000,24499000
2023-03-23,11.400000,11.836000,11.175000,11.400000,11.400000,20620000
2023-03-24,11.282000,11.307000,10.614000,11.083000,11.083000,18312000
2023-03-27,11.195000,11.360000,10.989000,11.090000,11.090000,17689000
2023-03-28,11.041000,11.105000,10.144000,10.278000,10.278000,20761000
2023-03-29,10.455000,10.588000,10.252000,10.565000,10.565000,13826000
2023-03-30,10.732000,10.732000,10.131000,10.334000,10.334000,12857000
2023-03-31,10.356000,10.775000,10.320000,10.655000,10.655000,12560000
2023-04-03,10.657000,11.280000,10.655000,11.272000,11.272000,18587000
2023-04-04,11.384000,11.707000,10.859000,10.946000,10.946000,17407000
2023-04-05,10.831000,11.020000,10.621000,10.803000,10.803000,8392000
2023-04-06,9.984000,10.435000,9.702000,10.069000,10.069000,33959000
2023-04-10,10.000000,10.688000,9.924000,10.655000,10.655000,13198000
2023-04-11,10.737000,10.879000,10.455000,10.468000,10.468000,10210000
2023-04-12,10.587000,11.054000,10.560000,10.811000,10.811000,14954000
2023-04-13,10.813000,10.859000,10.381000,10.824000,10.824000,12298000
2023-04-14,10.824000,10.975000,10.770000,10.915000,10.915000,9470000
2023-04-17,10.915000,11.062000,10.728000,11.043000,11.043000,7951000
2023-04-18,11.200000,11.924000,11.200000,11.588000,11.588000,15251000
2023-04-19,11.350000,11.659000,10.958000,10.982000,10.982000,15361000
2023-04-20,10.816000,11.196000,10.702000,10.801000,10.801000,11040000
2023-04-21,10.699000,10.807000,10.233000,10.732000,10.732000,10987000
2023-04-24,9.751000,10.337000,9.691000,9.859000,9.859000,42351000
2023-04-25,9.799000,9.799000,9.319000,9.328000,9.328000,21711000
2023-04-26,9.464000,9.618000,9.401000,9.489000,9.489000,15043000
2023-04-27,9.422000,9.876000,9.334000,9.858000,9.858000,10006000
2023-04-28,9.845000,10.550000,9.802000,10.543000,10.543000,15037000
2023-05-01,10.544000,10.796000,10.312000,10.511000,10.511000,15845000
2023-05-02,10.520000,10.780000,10.171000,10.443000,10.443000,20409000
2023-05-03,11.600000,13.664000,11.432000,13.395000,13.395000,81628000
2023-05-04,13.282000,13.950000,13.123000,13.640000,13.640000,21228000
2023-05-05,13.820000,14.353000,13.503000,13.723000,13.723000,23659000
2023-05-08,13.595000,13.923000,13.439000,13.663000,13.663000,14877000
2023-05-09,13.679000,13.750000,13.209000,13.225000,13.225000,14636000
2023-05-10,13.245000,13.558000,13.106000,13.428000,13.428000,10211000
2023-05-11,13.342000,13.747000,13.300000,13.643000,13.643000,10927000
2023-05-12,13.881000,13.988000,13.269000,13.450000,13.450000,7929000
2023-05-15,13.600000,13.934000,13.555000,13.784000,13.784000,10019000
2023-05-16,13.783000,14.750000,13.760000,14.584000,14.584000,22891000
2023-05-17,14.700000,15.600000,14.700000,15.431000,15.431000,27513000
2023-05-18,15.545000,16.655001,15.545000,16.455999,16.455999,32787000
2023-05-19,16.740999,17.167000,16.024000,16.419001,16.419001,27764000
2023-05-22,16.420000,16.941000,16.254999,16.481001,16.481001,17537000
2023-05-23,16.291000,16.566000,15.958000,16.191000,16.191000,14375000
2023-05-24,15.963000,16.792000,15.826000,16.761999,16.761999,15512000
2023-05-25,19.601000,21.341000,19.250000,20.686001,20.686001,71372000
2023-05-26,20.995001,22.771000,20.701000,21.917999,21.917999,49892000
2023-05-30,22.799999,24.299000,22.767000,23.410000,23.410000,48300000
2023-05-31,22.634001,22.756001,21.600000,22.395000,22.395000,44163000
2023-06-01,22.663000,23.249001,22.024000,23.101999,23.101999,29689000
2023-06-02,23.448999,23.788000,22.020000,22.194000,22.194000,27312000
2023-06-05,21.914000,22.768000,21.702000,22.365999,22.365999,19231000
2023-06-06,22.100000,23.573999,22.011999,23.315001,23.315001,20715000
2023-06-07,24.403000,26.165001,23.700001,23.978001,23.978001,44948000
2023-06-08,24.063000,25.969000,23.712000,25.434999,25.434999,35221000
2023-06-09,26.299999,27.018000,25.688000,26.166000,26.166000,35077000
2023-06-12,26.469999,26.643999,24.534000,25.865000,25.865000,34685000
2023-06-13,26.084999,26.100000,23.211000,24.424000,24.424000,45205000
2023-06-14,24.316999,25.299999,23.914000,24.777000,24.777000,26456000
2023-06-15,24.445999,24.899000,23.920000,24.392000,24.392000,21982000
2023-06-16,24.500000,24.577999,23.037001,23.077000,23.077000,30346000
2023-06-20,22.730000,23.570999,21.933001,22.240000,22.240000,33633000
2023-06-21,22.100000,22.700001,21.719999,21.990999,21.990999,26036000
2023-06-22,22.198999,24.197001,22.114000,22.646000,22.646000,39366000
2023-06-23,22.233999,22.448999,21.423000,21.606001,21.606001,25132000
2023-06-26,21.971001,22.999001,21.308001,21.650000,21.650000,28406000
2023-06-27,22.240999,22.834000,21.851000,22.617001,22.617001,24325000
2023-06-28,22.327000,23.816000,22.028999,23.594000,23.594000,26667000
2023-06-29,24.080000,24.882000,23.135000,23.593000,23.593000,27266000
2023-06-30,24.000000,25.396000,23.988001,24.924999,24.924999,25530000
2023-07-03,25.489000,26.299000,24.671000,24.920000,24.920000,17109000
2023-07-05,24.799999,26.337999,24.795000,25.500000,25.500000,20598000
2023-07-06,25.299000,25.600000,24.510000,25.052999,25.052999,17578000
2023-07-07,25.500000,26.777000,25.455000,26.000999,26.000999,28712000
2023-07-10,26.200001,27.020000,25.330999,26.993000,26.993000,25112000
2023-07-11,27.517000,28.290001,26.254000,27.094999,27.094999,29304000
2023-07-12,27.305000,27.799999,26.521000,27.664000,27.664000,27742000
2023-07-13,28.025999,29.539000,27.921000,29.405001,29.405001,30651000
2023-07-14,29.799999,30.684999,28.844000,29.538000,29.538000,37569000
2023-07-17,29.910000,30.511000,29.219000,30.205000,30.205000,25495000
2023-07-18,30.250000,31.937000,29.615000,31.840000,31.840000,26622000
2023-07-19,32.400002,32.907001,29.639999,30.367001,30.367001,44017000
2023-07-20,29.874001,30.797001,28.134001,30.295000,30.295000,49297000
2023-07-21,30.900000,31.516001,29.601000,30.315001,30.315001,40185000
2023-07-24,30.350000,31.275999,29.473000,30.937000,30.937000,29033000
2023-07-25,30.916000,32.398998,30.916000,32.134998,32.134998,23513000
2023-07-26,31.952999,32.362999,30.719000,31.736000,31.736000,23560000
2023-07-27,32.500000,33.664001,32.101002,32.734001,32.734001,32282000
2023-07-28,33.449001,33.778999,32.484001,33.450001,33.450001,20439000
2023-07-31,33.514999,33.630001,32.102001,33.027000,33.027000,23549000
2023-08-01,32.249001,33.787998,32.000000,33.756001,33.756001,20667000
2023-08-02,32.866001,33.775002,31.202000,31.961000,31.961000,27797000
2023-08-03,31.400000,32.437000,31.299999,32.120998,32.120998,14907000
2023-08-04,32.400002,34.797001,32.021999,33.808998,33.808998,34715000
2023-08-07,35.200001,35.700001,34.083000,35.328999,35.328999,33192000
2023-08-08,34.480000,35.376999,34.103001,34.740002,34.740002,45527000
2023-08-09,29.714001,29.802999,26.025000,26.613001,26.613001,114567000
2023-08-10,26.542000,27.979000,26.230000,27.712000,27.712000,56630000
2023-08-11,26.927999,27.200001,25.049999,25.443001,25.443001,58175000
2023-08-14,25.038000,27.259001,24.840000,26.945999,26.945999,49950000
2023-08-15,26.737000,27.198999,25.923000,26.422001,26.422001,23201000
2023-08-16,26.341000,26.385000,25.186001,25.372999,25.372999,24945000
2023-08-17,25.500000,25.594000,24.253000,24.406000,24.406000,25041000
2023-08-18,23.600000,24.702000,23.514999,24.355000,24.355000,27394000
2023-08-21,24.450001,25.572001,24.225000,25.264000,25.264000,26742000
2023-08-22,25.704000,26.377001,25.400999,25.809000,25.809000,27649000
2023-08-23,26.028999,28.457001,25.924999,27.761000,27.761000,44601000
2023-08-24,29.804001,29.834999,25.650000,26.250000,26.250000,57836000
2023-08-25,26.100000,26.393999,24.301001,25.396000,25.396000,41026000
2023-08-28,25.736000,26.209999,25.372999,25.516001,25.516001,19743000
2023-08-29,25.364000,27.760000,25.101000,26.163000,26.163000,36371000
2023-08-30,26.374001,27.587999,25.732000,26.792000,26.792000,34838000
2023-08-31,27.000000,28.304001,26.405001,27.507999,27.507999,66372000
2023-09-01,27.700001,28.333000,26.655001,28.216000,28.216000,37534000
2023-09-05,27.940001,28.693001,27.427000,28.028000,28.028000,33603000
2023-09-06,27.709999,28.200001,27.030001,27.403000,27.403000,24613000
2023-09-07,26.511999,26.794001,25.420000,26.747999,26.747999,29229000
2023-09-08,26.625000,28.125999,26.558001,28.066000,28.066000,29341000
2023-09-11,28.547001,28.773001,27.506001,27.732000,27.732000,29538000
2023-09-12,27.354000,27.983000,26.566999,26.768000,26.768000,22138000
2023-09-13,26.702000,27.718000,26.621000,27.096001,27.096001,25819000
2023-09-14,27.177000,27.629000,26.792000,27.077000,27.077000,24127000
2023-09-15,26.799999,26.927999,24.719999,24.926001,24.926001,45786000
2023-09-18,24.100000,24.848000,23.912001,24.430000,24.430000,26113000
2023-09-19,24.850000,25.059000,24.408001,24.774000,24.774000,20272000
2023-09-20,24.774000,25.468000,24.239000,24.306999,24.306999,15696000
2023-09-21,23.408001,23.740000,22.826000,23.153999,23.153999,25497000
2023-09-22,23.490000,23.761999,23.136000,23.575001,23.575001,16011000
2023-09-25,23.400000,25.006001,23.336000,24.886000,24.886000,25589000
2023-09-26,24.548000,25.520000,24.548000,24.921000,24.921000,19898000
2023-09-27,25.292000,26.162001,25.108000,25.754000,25.754000,28056000
2023-09-28,25.639000,27.259001,25.500000,26.938000,26.938000,27133000
2023-09-29,27.400999,28.363001,27.299999,27.422001,27.422001,33610000
2023-10-02,27.500000,29.200001,27.462999,28.886000,28.886000,34866000
2023-10-03,28.656000,28.900000,26.632999,26.997000,26.997000,37898000
2023-10-04,27.395000,28.097000,27.059999,28.040001,28.040001,30931000
2023-10-05,27.965000,28.809999,27.650000,28.760000,28.760000,28573000
2023-10-06,28.441999,29.440001,28.061001,28.966999,28.966999,28279000
2023-10-09,28.402000,29.198999,27.664000,29.000000,29.000000,24301000
2023-10-10,29.500000,31.750000,29.497999,31.031000,31.031000,51385000
2023-10-11,31.110001,31.597000,30.256001,30.886000,30.886000,36998000
