Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,373.859985,375.899994,366.769989,370.869995,367.380615,25258600
2024-01-03,369.010010,373.260010,368.510010,370.600006,367.113159,23083500
2024-01-04,370.670013,373.100006,367.170013,367.940002,364.478210,20901500
2024-01-05,368.970001,372.059998,366.500000,367.750000,364.289948,20987000
2024-01-08,369.299988,375.200012,369.010010,374.690002,371.164673,23134000
2024-01-09,372.010010,375.989990,371.190002,375.790009,372.254333,20830000
2024-01-10,376.369995,384.170013,376.320007,382.769989,379.168640,25514200
2024-01-11,386.000000,390.679993,380.380005,384.630005,381.011169,27850800
2024-01-12,385.489990,388.679993,384.649994,388.470001,384.815033,21645700
2024-01-16,393.660004,394.029999,387.619995,390.269989,386.598083,27202300
2024-01-17,387.980011,390.109985,384.809998,389.470001,385.805634,22234100
2024-01-18,391.720001,393.989990,390.119995,393.869995,390.164246,23392100
2024-01-19,395.760010,398.670013,393.500000,398.670013,394.919037,29272000
2024-01-22,400.019989,400.619995,393.589996,396.510010,392.779388,27016900
2024-01-23,395.750000,399.380005,393.929993,398.899994,395.146881,20525900
2024-01-24,401.540009,405.630005,400.450012,402.559998,398.772461,24867000
2024-01-25,404.320007,407.010010,402.529999,404.869995,401.060730,21021200
2024-01-26,404.369995,406.170013,402.429993,403.929993,400.129547,17803300
2024-01-29,406.059998,409.980011,404.329987,409.720001,405.865051,24510200
2024-01-30,412.260010,413.049988,406.450012,408.589996,404.745697,33477600
2024-01-31,406.959991,415.320007,397.209991,397.579987,393.839294,47871100
2024-02-01,401.829987,408.000000,401.799988,403.779999,399.980988,30657700
2024-02-02,403.809998,412.649994,403.559998,411.220001,407.350952,28245000
2024-02-05,409.899994,411.160004,403.989990,405.649994,401.833374,25352300
2024-02-06,405.880005,407.970001,402.910004,405.489990,401.674866,18382600
2024-02-07,407.440002,414.299988,407.399994,414.049988,410.154327,22340500
2024-02-08,414.049988,415.559998,412.529999,414.109985,410.213806,21225300
2024-02-09,415.250000,420.820007,415.089996,420.549988,416.593170,22032800
2024-02-12,420.559998,420.739990,414.750000,415.260010,411.352997,21202900
2024-02-13,404.940002,410.070007,403.390015,406.320007,402.497101,27824900
2024-02-14,408.070007,409.839996,404.570007,409.489990,406.387360,20401200
2024-02-15,408.140015,409.130005,404.290009,406.559998,403.479584,21825500
2024-02-16,407.959991,408.290009,403.440002,404.059998,400.998535,22281100
2024-02-20,403.239990,404.489990,398.010010,402.790009,399.738159,24307900
2024-02-21,400.170013,402.290009,397.220001,402.179993,399.132751,18631100
2024-02-22,410.190002,412.829987,408.570007,411.649994,408.531006,27009900
2024-02-23,415.670013,415.859985,408.970001,410.339996,407.230957,16295900
2024-02-26,411.459991,412.160004,407.359985,407.540009,404.452148,16193500
2024-02-27,407.989990,408.320007,403.850006,407.480011,404.392639,14835800
2024-02-28,408.179993,409.299988,405.320007,407.720001,404.630798,13183100
2024-02-29,408.640015,414.200012,405.920013,413.640015,410.505951,31947300
2024-03-01,411.269989,415.869995,410.880005,415.500000,412.351837,17800300
2024-03-04,413.440002,417.350006,412.320007,414.920013,411.776245,17596000
2024-03-05,413.959991,414.250000,400.640015,402.649994,399.599213,26919200
2024-03-06,402.970001,405.160004,398.390015,402.089996,399.043457,22344100
2024-03-07,406.119995,409.779999,402.239990,409.140015,406.040009,18718500
2024-03-08,407.959991,410.420013,404.329987,406.220001,403.142151,17971700
2024-03-11,403.760010,405.679993,401.260010,404.519989,401.455048,16120800
2024-03-12,407.619995,415.570007,406.790009,415.279999,412.133514,22457000
2024-03-13,418.100006,418.179993,411.450012,415.100006,411.954895,17115900
2024-03-14,420.239990,427.820007,417.989990,425.220001,421.998199,34157300
2024-03-15,419.290009,422.600006,412.790009,416.420013,413.264893,45049800
2024-03-18,414.250000,420.730011,413.779999,417.320007,414.158051,20106000
2024-03-19,417.829987,421.670013,415.549988,421.410004,418.217072,19837900
2024-03-20,422.000000,425.959991,420.660004,425.230011,422.008118,17860100
2024-03-21,429.829987,430.820007,427.160004,429.369995,426.116760,21296200
2024-03-22,429.700012,429.859985,426.070007,428.739990,425.491547,17636500
2024-03-25,425.239990,427.410004,421.609985,422.859985,419.656067,18060500
2024-03-26,425.609985,425.989990,421.350006,421.649994,418.455231,16725600
2024-03-27,424.440002,424.450012,419.010010,421.429993,418.236908,16705000
2024-03-28,420.959991,421.869995,419.119995,420.720001,417.532318,21871200
2024-04-01,423.950012,427.890015,422.220001,424.570007,421.353119,16316000
2024-04-02,420.109985,422.380005,417.839996,421.440002,418.246826,17912000
2024-04-03,419.730011,423.260010,419.089996,420.450012,417.264343,16502300
2024-04-04,424.989990,428.670013,417.570007,417.880005,414.713806,19370900
2024-04-05,420.010010,426.510010,418.320007,425.519989,422.295898,16544300
2024-04-08,425.170013,427.279999,423.299988,424.589996,421.372955,14272400
2024-04-09,426.440002,427.739990,421.619995,426.279999,423.050171,12512300
2024-04-10,422.190002,424.029999,419.700012,423.260010,420.053040,16216600
2024-04-11,425.820007,429.369995,422.359985,427.929993,424.687653,17966400
2024-04-12,424.049988,425.179993,419.769989,421.899994,418.703339,19232100
2024-04-15,426.600006,426.820007,413.429993,413.640015,410.505951,20273500
2024-04-16,414.570007,418.399994,413.730011,414.579987,411.438782,16765600
2024-04-17,417.250000,418.880005,410.329987,411.839996,408.719574,15855500
2024-04-18,410.630005,411.890015,403.950012,404.269989,401.206909,21029900
2024-04-19,404.029999,405.480011,397.769989,399.119995,396.095947,30276500
2024-04-22,400.079987,402.850006,395.750000,400.959991,397.922028,20286900
2024-04-23,404.239990,408.200012,403.059998,407.570007,404.481934,15734500
2024-04-24,409.559998,412.470001,406.779999,409.059998,405.960632,15065300
2024-04-25,394.029999,399.890015,388.029999,399.040009,396.016571,40586500
2024-04-26,412.170013,413.000000,405.760010,406.320007,403.241425,29694700
2024-04-29,405.250000,406.320007,399.190002,402.250000,399.202209,19582100
2024-04-30,401.489990,402.160004,389.170013,389.329987,386.380127,28781400
2024-05-01,392.609985,401.720001,390.309998,394.940002,391.947632,23562500
2024-05-02,397.660004,399.929993,394.649994,397.839996,394.825653,17709400
2024-05-03,402.279999,407.149994,401.859985,406.660004,403.578827,17446700
2024-05-06,408.760010,413.929993,406.369995,413.540009,410.406677,16996600
2024-05-07,414.660004,414.670013,409.089996,409.339996,406.238495,20018200
2024-05-08,408.170013,412.230011,406.709991,410.540009,407.429413,11792300
2024-05-09,410.570007,412.720001,409.100006,412.320007,409.195953,14689700
2024-05-10,412.940002,415.380005,411.799988,414.739990,411.597626,13402300
2024-05-13,418.010010,418.350006,410.820007,413.720001,410.585358,15440200
2024-05-14,412.019989,417.489990,411.549988,416.559998,413.403809,15109300
2024-05-15,417.899994,423.809998,417.269989,423.079987,420.631744,22239500
2024-05-16,421.799988,425.420013,420.350006,420.989990,418.553833,17530100
2024-05-17,422.540009,422.920013,418.029999,420.209991,417.778320,15352200
2024-05-20,420.209991,426.769989,419.989990,425.339996,422.878662,16272100
2024-05-21,426.829987,432.970001,424.850006,429.040009,426.557251,21453300
2024-05-22,430.089996,432.410004,427.130005,430.519989,428.028687,18073700
2024-05-23,432.970001,433.600006,425.420013,427.000000,424.529083,17211700
2024-05-24,427.190002,431.059998,424.410004,430.160004,427.670776,11845800
2024-05-28,429.630005,430.820007,426.600006,430.320007,427.829865,15718000
2024-05-29,425.690002,430.940002,425.690002,429.170013,426.686523,15517100
2024-05-30,424.299988,424.299988,414.239990,414.670013,412.270416,28424800
