Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,268.649994,270.149994,262.130005,264.480011,260.724670,42335300
2023-01-04,266.640015,267.450012,262.529999,265.739990,261.966736,47754900
2023-01-05,264.040009,264.209991,261.260010,261.579987,257.865845,45396700
2023-01-06,263.350006,269.940002,260.339996,268.799988,264.983307,54659700
2023-01-09,270.829987,275.290009,269.920013,270.540009,266.698639,45568700
2023-01-10,269.489990,272.940002,268.970001,272.829987,268.956055,35247800
2023-01-11,273.920013,277.660004,273.119995,277.549988,273.609100,44077000
2023-01-12,278.119995,280.100006,273.739990,279.049988,275.087799,60600000
2023-01-13,276.500000,281.220001,276.160004,280.970001,276.980560,44802900
2023-01-17,280.769989,282.850006,279.579987,281.540009,277.542450,36269700
2023-01-18,283.109985,284.690002,277.670013,277.880005,273.934418,47754500
2023-01-19,276.220001,277.380005,273.890015,275.149994,271.243164,44150400
2023-01-20,276.790009,283.019989,275.709991,282.679993,278.666199,60613600
2023-01-23,283.540009,290.209991,282.730011,288.959991,284.857056,52799900
2023-01-24,287.309998,289.549988,286.779999,288.369995,284.275452,44875100
2023-01-25,283.769989,288.359985,281.179993,287.730011,283.644531,50872000
2023-01-26,291.220001,293.519989,288.519989,293.339996,289.174896,51596300
2023-01-27,292.000000,298.260010,291.880005,296.260010,292.053436,56441900
2023-01-30,292.929993,294.380005,289.890015,290.269989,286.148438,49405800
2023-01-31,290.309998,294.720001,290.200012,294.619995,290.436676,46705100
2023-02-01,294.410004,303.429993,292.299988,300.920013,296.647278,67562200
2023-02-02,307.570007,313.679993,306.730011,311.720001,307.293884,83070600
2023-02-03,304.940002,312.390015,304.540009,306.179993,301.832611,76170800
2023-02-06,303.510010,305.910004,302.220001,303.589996,299.279358,40802300
2023-02-07,303.459991,311.029999,302.320007,309.880005,305.480042,67584000
2023-02-08,308.540009,309.500000,303.670013,304.369995,300.048340,56720900
2023-02-09,308.839996,308.989990,300.200012,301.679993,297.396484,49137800
2023-02-10,299.480011,301.570007,297.250000,299.700012,295.444580,50050100
2023-02-13,301.130005,305.100006,299.929993,304.500000,300.176453,39636700
2023-02-14,302.890015,307.720001,300.910004,306.750000,302.394470,64079100
2023-02-15,304.899994,309.269989,304.200012,309.100006,304.711121,43100600
2023-02-16,304.380005,308.429993,303.149994,303.299988,298.993439,59498600
2023-02-17,301.070007,301.929993,298.100006,301.160004,296.883820,58230700
2023-02-21,297.260010,298.730011,293.890015,294.029999,289.855103,46526700
