Date,NVIDIA,AMD,Intel,Microsoft,S&P 500,NASDAQ,Dell,Hewlett Packard Enterprise,SuperMicro
2023-01-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-30,100.0,100.0,100.00000742071936,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-30,100.0,100.0,100.00000742071936,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-31,101.95700884624719,103.72671513016074,101.109119266358,102.10126047539454,101.47032870044947,101.49860611854886,101.52461702523196,100.7495324217071,100.27727713849993
2023-01-31,101.95700884624719,103.72671513016074,101.10911184563867,102.10126047539454,101.47032870044947,101.49860611854886,101.52461702523196,100.7495324217071,100.27727713849993
2023-01-31,101.95700884624719,103.72671513016074,101.109119266358,102.10126047539454,101.47032870044947,101.49860611854886,101.52461702523196,100.7495324217071,100.27727713849993
2023-01-31,101.95700884624719,103.72671513016074,101.10911184563867,102.10126047539454,101.47032870044947,101.49860611854886,101.52461702523196,100.7495324217071,100.27727713849993
2023-02-01,109.29444319587205,116.8254002826253,104.00715134724088,104.13661654079715,102.54873312442412,103.6690188048484,103.0492340504639,100.62460257095537,110.55039511992237
2023-02-01,109.29444319587205,116.8254002826253,104.00715876796023,104.13661654079715,102.54873312442412,103.6690188048484,103.0492340504639,100.62460257095537,110.55039511992237
2023-02-01,109.29444319587205,116.8254002826253,104.00715876796023,104.13661654079715,102.54873312442412,103.6690188048484,103.0492340504639,100.62460257095537,110.55039511992237
2023-02-01,109.29444319587205,116.8254002826253,104.00715134724088,104.13661654079715,102.54873312442412,103.6690188048484,103.0492340504639,100.62460257095537,110.55039511992237
2023-02-02,113.29192866448268,121.89096156898391,108.01430640484145,109.0189890713587,104.04153220944303,107.38967724157209,106.02348397277781,102.49844362868099,113.51726050187163
2023-02-02,113.29192866448268,121.89096156898391,108.01431011520111,109.0189890713587,104.04153220944303,107.38967724157209,106.02348397277781,102.49844362868099,113.51726050187163
2023-02-02,113.29191821860618,121.89096156898391,108.01430640484145,109.0189890713587,104.04153220944303,107.38967724157209,106.02348397277781,102.49844362868099,113.51726050187163
2023-02-02,113.29191821860618,121.89096156898391,108.01431011520111,109.0189890713587,104.04153220944303,107.38967724157209,106.02348397277781,102.49844362868099,113.51726050187163
2023-02-03,110.11377596446647,118.82677648696107,108.47942225247402,106.4439003139476,102.93566057806116,105.4811317893687,105.57360801773277,101.99875090156164,116.92776930542075
2023-02-03,110.11376551858999,118.82677648696107,108.47941483175467,106.4439003139476,102.93566057806116,105.4811317893687,105.57360801773277,101.99875090156164,116.92776930542075
2023-02-03,110.11376551858999,118.82677648696107,108.47942225247402,106.4439003139476,102.93566057806116,105.4811317893687,105.57360801773277,101.99875090156164,116.92776930542075
2023-02-03,110.11377596446647,118.82677648696107,108.47941483175467,106.4439003139476,102.93566057806116,105.4811317893687,105.57360801773277,101.99875090156164,116.92776930542075
2023-02-06,110.05636020432341,115.50034984818565,103.89834504972161,105.79289940627285,102.30658918533635,104.58884909237212,102.37440833041025,100.62460257095537,115.36115347289615
2023-02-06,110.05636020432341,115.50034984818565,103.89833762900224,105.79289940627285,102.30658918533635,104.58884909237212,102.37440833041025,100.62460257095537,115.36115347289615
2023-02-06,110.05637065019994,115.50034984818565,103.89833762900224,105.79289940627285,102.30658918533635,104.58884909237212,102.37440833041025,100.62460257095537,115.36115347289615
2023-02-06,110.05637065019994,115.50034984818565,103.89834504972161,105.79289940627285,102.30658918533635,104.58884909237212,102.37440833041025,100.62460257095537,115.36115347289615
2023-02-07,115.71339251723217,118.57834031380293,105.20203928788551,110.2385481662023,103.64462681450428,106.75579574542357,104.94876385812174,101.37414166163438,113.6558990711216
2023-02-07,115.71339251723217,118.57834031380293,105.20204670860487,110.2385481662023,103.64462681450428,106.75579574542357,104.94876385812174,101.37414166163438,113.6558990711216
2023-02-07,115.71340296310866,118.57834031380293,105.20203928788551,110.2385481662023,103.64462681450428,106.75579574542357,104.94876385812174,101.37414166163438,113.6558990711216
2023-02-07,115.71340296310866,118.57834031380293,105.20204670860487,110.2385481662023,103.64462681450428,106.75579574542357,104.94876385812174,101.37414166163438,113.6558990711216
2023-02-08,115.88037507590887,116.89441753876126,102.26870684503851,109.89658619150984,102.51129595662651,104.85758444014293,104.57385893401991,100.0,118.14778871482045
2023-02-08,115.88037507590887,116.89441753876126,102.26869942431915,109.89658619150984,102.51129595662651,104.85758444014293,104.57385893401991,100.0,118.14778871482045
2023-02-08,115.88038552178537,116.89441753876126,102.26870684503851,109.89658619150984,102.51129595662651,104.85758444014293,104.57385893401991,100.0,118.14778871482045
2023-02-08,115.88038552178537,116.89441753876126,102.26869942431915,109.89658619150984,102.51129595662651,104.85758444014293,104.57385893401991,100.0,118.14778871482045
2023-02-09,116.56925451592215,114.85162518364218,100.42177142588937,108.61520135052112,101.6225995970685,103.93084305426123,105.07373740503839,101.43659658355237,120.61555524746983
2023-02-09,116.56924407004566,114.85162518364218,100.42177142588937,108.61520135052112,101.6225995970685,103.93084305426123,105.07373740503839,101.43659658355237,120.61555524746983
2023-02-09,116.56925451592215,114.85162518364218,100.42177142588937,108.61520135052112,101.6225995970685,103.93084305426123,105.07373740503839,101.43659658355237,120.61555524746983
2023-02-09,116.56924407004566,114.85162518364218,100.42177142588937,108.61520135052112,101.6225995970685,103.93084305426123,105.07373740503839,101.43659658355237,120.61555524746983
